name,auroc_mean,auroc_std,auprc_mean,f1_mean,accuracy_mean,fit_seconds,status
"XGBoost(n=50,depth=6,lr=0.01)",0.8034,0.0401,0.945,0.9141,0.8417,0.82,ok
"LogisticRegression(C=100,solver=lbfgs)",0.8033,0.0207,0.9484,0.9197,0.8596,0.17,ok
"MLP(hidden=(50,),alpha=0.0001)",0.8033,0.0246,0.9497,0.9073,0.8417,7.53,ok
"GradBoost(n=100,lr=0.01,depth=2)",0.8029,0.0265,0.9453,0.9177,0.8495,3.65,ok
"MLP(hidden=(50,),alpha=0.01)",0.8028,0.0232,0.9493,0.906,0.8402,7.43,ok
"MLP(hidden=(50,),alpha=0.001)",0.8024,0.0245,0.9495,0.9071,0.8417,7.41,ok
"GradBoost(n=50,lr=0.01,depth=3)",0.8015,0.0372,0.9426,0.9141,0.8417,2.63,ok
"SVC(kernel=linear,C=1)",0.8,0.0205,0.9454,0.9179,0.8549,2.64,ok
"MLP(hidden=(50, 50),alpha=0.001)",0.7986,0.0227,0.9478,0.9032,0.8355,4.48,ok
"MLP(hidden=(50, 50),alpha=0.01)",0.7977,0.0219,0.9472,0.9065,0.841,4.55,ok
"KNN(k=21,weights=distance)",0.7971,0.0527,0.942,0.9202,0.8549,0.15,ok
"MLP(hidden=(50, 50),alpha=0.0001)",0.7966,0.0222,0.9472,0.9048,0.8379,4.52,ok
"KNN(k=21,weights=uniform)",0.7965,0.0527,0.9377,0.9202,0.8549,0.14,ok
"SVC(kernel=rbf,C=100)",0.7963,0.0251,0.9518,0.9038,0.834,1.12,ok
"SVC(kernel=linear,C=10)",0.7959,0.0241,0.9444,0.9196,0.858,29.38,ok
"GradBoost(n=50,lr=0.01,depth=2)",0.7948,0.0294,0.9385,0.9141,0.8417,1.85,ok
"SVC(kernel=linear,C=100)",0.7947,0.0251,0.9443,0.9199,0.8588,288.93,ok
"SGDClassifier(loss=log_loss,alpha=0.001)",0.7942,0.0281,0.9434,0.9154,0.8526,0.17,ok
"SVC(kernel=poly,C=0.1)",0.7878,0.0225,0.9324,0.9152,0.8456,0.55,ok
"SGDClassifier(loss=modified_huber,alpha=0.01)",0.7863,0.0295,0.9401,0.9162,0.8541,0.14,ok
